Number,Name,Link,Image Address,Color,Finish
321,Goodie Bag,https://www.dndgel.com/products/goodie-bag-321?_pos=1&_psq=Goodie+Bag&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/321-s.jpg?v=1755194826&width=1346,Blue,Cream
326,Nightrider,https://www.dndgel.com/products/nightrider-326?_pos=1&_psq=Nightri&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-326-SWATCH_f6e9fc49-4da5-4348-a1f8-5ca5f1a5f683.png?v=1764958576&width=1346,Green,Cream
998,Treehouse Venom,https://www.dndgel.com/products/treehouse-venom-998?_pos=1&_psq=Treehouse+Venom&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/DND998-1.jpg?v=1755193339&width=1346,Green,Cream
730,Mixed Berries,https://www.dndgel.com/products/mixed-berries-730?_pos=1&_psq=Mixed+Berries&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DND-730-SWATCH.png?v=1755194476&width=1346,"Purple, Blue",Cream
325,Icon,https://www.dndgel.com/products/icon-325?_pos=1&_psq=Icon&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-325-SWATCH.jpg?v=1755194832&width=1346,Green,Cream
879,Sunset Suede,https://www.dndgel.com/products/sunset-suede-879?_pos=1&_psq=Sunset+Suede&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DND864_sunset_suede.jpg?v=1768324720&width=1346,Neutral,Sheer
324,Safari,https://www.dndgel.com/products/safari-324?_pos=1&_psq=Safari&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/safari_324_1ee07a61-07b8-4d86-a08f-3e60dc4a608d.jpg?v=1755194831&width=1346,Green,Cream
857,Sheer Nude,https://www.dndgel.com/products/sheer-nude-857?_pos=1&_psq=Sheer+Nude&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/857_946d228d-7738-4cd1-8842-1f79d274b763.png?v=1767122074&width=1346,Neutral,Sheer
2443,Sheer Sugar,https://www.dndgel.com/products/sheer-sugar-2443?_pos=1&_psq=Sheer+Sugar&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-2443-SWATCH.png?v=1766621714&width=1346,Neutral,Sheer
293,Tres Leches,https://www.dndgel.com/products/tres-leches-293?_pos=1&_psq=Tres+Leches&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-293-SWATCH_1.png?v=1755194789&width=1346,Neutral,Cream
298,Genuine Pink,https://www.dndgel.com/products/genuine-pink-298?_pos=1&_psq=Genuine+Pink&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-298-SWATCH.webp?v=1764964828&width=1346,Pink,Cream
150,Beige Pink,https://www.dndgel.com/products/beige-pink-150?_pos=1&_psq=Beige+Pink&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/products/beige-pink-dnd-gel-dc-150_2fc7a83c-27ed-4d2d-8e98-f9ac894d9f88.jpg?v=1755194596&width=1346,Pink,Sheer
296,Little Pink Me Up,https://www.dndgel.com/products/little-pink-me-up-296?_pos=1&_psq=Little+Pink+Me+Up&_ss=e&_v=1.0,https://www.dndgel.com/cdn/shop/files/DC-296-SWATCH.png?v=1755194793&width=1346,Pink,Cream
